,"Arvonlisäys, M€ (koko ohjelma)",M€ / vuosi,% BKT:sta / vuosi
Yksinkertainen kerroinmalli (ei panos-tuotosta),1596.0056469475958,798.0028234737979,0.28330723583781176
"Panos-tuotos, Type I (suora + välillinen)",1845.316112717738,922.658056358869,0.3275623793317342
"Panos-tuotos, Type II (+ tulokerrannais)",2376.103054456413,1188.0515272282064,0.42178246030098854
