,IT-osuus 55%,IT-osuus 68%,IT-osuus 78%
"Kotimaisuusaste, %",25.763641502723893,19.942784988869576,15.465203055135488
"Kotimainen kysyntä, M€",3349.2733953541065,2592.5620485530444,2010.476397167613
"Arvonlisäys Type I, M€",2380.406965977293,1845.316112717738,1433.7077640565417
"Arvonlisäys Type II, M€",3063.0310486382214,2376.103054456413,1847.6969050857915
"Arvonlisäys, M€/vuosi",1531.5155243191107,1188.0515272282064,923.8484525428958
"BKT-vaikutus, %/vuosi",0.54371916624151,0.42178246030098854,0.32798499419289523
"Työllisyys, htv (koko ohjelma)",35369.209602963514,27430.935887607142,21324.571491179166
"Työllisyys, henkeä/vuosi",17684.604801481757,13715.467943803571,10662.285745589583
