Suure,Toimialan väite (skaalattu),Tämä analyysi,Huomautus
"Rakennusvaiheen verot, M€ (koko ohjelma)",1841.6666666666665,1394.5929762949397,toimialan väite skaalattu 1.08x (13 mrd / 12 mrd)
"Käyttövaiheen verot, M€/vuosi",433.3333333333333,239.09794102624267,toimialan väite koskee kaikkia Suomen datakeskuksia
