,Välitön,Välillinen,Tulokerrannais,Yhteensä
"Tuotos, M€",2592.5620485530444,1993.7090210034928,1014.8488538514009,5601.119923407939
"Arvonlisäys, M€",1015.0080847622753,830.3080279554625,530.786941738675,2376.103054456413
"Palkansaajakorvaukset, M€",673.8539400761033,509.2311847737795,210.3366064729,1393.4217313227828
"Toimintaylijäämä (netto), M€",218.40655693131703,173.46168473022794,157.43477043259026,549.3030120941353
"Kiinteän pääoman kuluminen, M€",121.98369022972257,146.7349536046716,158.77099847153647,427.48964230593066
"Työllisyys, henkilötyövuotta",12178.432890347536,10185.036342430385,5067.466654829221,27430.935887607142
"Tuontivälituotteet, M€",372.17523353760157,325.1942732562603,107.3022865829215,804.6717933767834
