IT-laitteiden osuus,Syrjäytymisaste,"Kotimaisuusaste, %","Arvonlisäys, M€/vuosi",% BKT:sta,"Työllisyys, htv"
55%,0.0,25.763641502723893,1531.5155243191107,0.54371916624151,35369.209602963514
55%,0.3,25.763641502723893,1072.0608670233773,0.3806034163690569,24758.44672207446
68%,0.0,19.942784988869576,1188.0515272282064,0.42178246030098854,27430.935887607142
68%,0.3,19.942784988869576,831.6360690597444,0.29524772221069195,19201.655121325
78%,0.0,15.465203055135488,923.8484525428958,0.32798499419289523,21324.571491179166
78%,0.3,15.465203055135488,646.6939167800269,0.22958949593502664,14927.200043825414
