,0
"Sähkön kokonaiskulutus 2024, GWh",83053.0
"Kotimainen tuotanto, GWh",79872.0
"Nettotuonti, GWh",3181.0
"Tuulivoima, GWh",20237.0
"Ydinvoima, GWh",31128.0
"Teollisuus ja rakentaminen, GWh",34742.0
"Palvelut ja julkinen kulutus, GWh",21628.0
"Kotitaloudet ja maatalous, GWh",23633.0
