Vaihe,Suure,M€ yhteensä,M€ / vuosi,% BKT:sta / vuosi
Rakennusvaihe,Ilmoitettu investointi,13000.0,6500.0,2.307632227326626
Rakennusvaihe,Kotimainen loppukysyntä,2592.5620485530444,1296.2810242765222,0.4602061334296109
Rakennusvaihe,"Arvonlisäys, Type I",1845.316112717738,922.658056358869,0.3275623793317342
Rakennusvaihe,"Arvonlisäys, Type II",2376.103054456413,1188.0515272282064,0.42178246030098854
Rakennusvaihe,Tuulivoima- ja akkuinvestoinnit (erillinen),229.65616812908252,114.82808406454126,0.040766305752231745
Käyttövaihe,BKT-vaikutus,,2389.1263948971,0.848188471387881
Käyttövaihe,BKTL-vaikutus,,2297.166392030031,0.8155407996584815
Käyttövaihe,Nettokansantulo-vaikutus,,385.9566042516418,0.13702244589548265
Käyttövaihe,Potentiaalinen tuotanto (kasvulaskenta),,1205.3040055320043,0.42790744106023426
